63,47,70,4,1
47,63,30,3,0
40,100,21.8,1,0
100,40,78.2,2,1
70,54,61.9,2,0
54,70,38.1,3,1
44,37,56.7,1,0
37,44,43.3,3,1
49,33,61.6,1,0
33,49,38.4,4,1
42,36,44.6,2,0
36,42,59.6,3,1
75,31,54.4,3,1
31,75,28.7,1,0
44,54,71.3,2,1
54,44,67.8,1,0
37,44,52.7,1,0
44,37,47.3,2,1
40,44,54.8,1,0
44,40,27.6,1,0
49,33,34.6,1,0
33,49,22.9,1,0
63,37,77.1,1,0
37,63,44.7,1,0
47,75,40.2,1,0
75,47,48.6,4,1
63,54,51.4,1,0
54,63,28.7,1,0
81,47,69.1,2,0
47,81,30.9,4,1
49,42,50.8,3,1
42,49,62.5,2,0
33,77,57.9,1,0
77,33,67.3,1,0
54,77,32.7,1,0
77,54,74.9,6,1
31,33,42.8,1,0
33,31,57.2,1,0
33,31,41,4,1
31,33,36.8,3,0
44,70,41.6,1,0
70,44,32.3,2,1
63,31,69.1,2,0
31,63,30.9,3,1
31,40,51.4,1,0
40,31,48.8,1,0
44,44,51.2,1,0
44,44,64.7,1,0
100,54,70.2,2,0
54,100,52,3,1
70,49,56.7,2,0
49,70,43.3,2,0
44,47,49.4,1,0
47,44,40.4,1,0
70,44,59.6,2,0
44,70,53.1,2,0
47,75,43.3,2,0
75,47,56.7,3,1
100,75,66.1,5,1
75,100,33.9,2,0
63,36,67.6,5,1
36,63,52.7,2,0
37,81,22.1,2,1
81,37,77.9,1,0
33,81,36.8,2,0
81,33,63.2,2,0
100,54,77.4,3,1
54,100,22.6,1,0
44,44,55.3,1,0
44,44,44.7,1,0
31,44,34.3,1,0
44,31,47.7,2,1
33,47,55.8,1,0
47,33,44.2,2,1
77,75,36.2,4,1
75,77,63.8,1,0
42,63,65,3,1
63,42,72.9,2,0
33,100,27.1,1,0
100,33,71.9,5,1
44,37,28.1,2,1
37,44,56.5,1,0
36,44,60.6,1,0
44,36,62.5,2,1
40,40,37.5,1,0
40,40,51.9,1,0
36,33,48.1,1,0
33,36,44.1,4,1
54,44,47.1,1,0
44,54,52.9,1,0
41,44,49.2,2,0
44,41,55.9,2,0
42,42,44.1,2,0
42,42,48.9,2,0
77,47,51.1,3,1
47,77,40.4,2,0
49,40,59.6,2,0
40,49,34.8,3,1
37,77,26.6,1,0
77,37,55.2,1,0
41,49,70.2,1,0
49,41,63.2,1,0
31,100,21.7,2,0
100,31,78.3,3,1
37,70,40.5,4,1
70,37,54,1,0
81,44,46,4,1
44,81,40.7,3,0
41,44,62.1,2,1
44,41,32.2,1,0
75,37,67.8,1,0
37,75,50.1,1,0
