47,63,30,3,-1
100,40,78.2,2,1
54,70,38.1,3,1
37,44,43.3,3,1
33,49,38.4,4,1
36,42,59.6,3,1
31,75,28.7,1,-1
54,44,67.8,1,-1
44,37,47.3,2,1
44,40,27.6,1,0
33,49,22.9,1,0
37,63,44.7,1,0
75,47,48.6,4,1
54,63,28.7,1,0
47,81,30.9,4,1
42,49,62.5,2,-1
77,33,67.3,1,0
77,54,74.9,6,1
33,31,57.2,1,0
31,33,36.8,3,-1
70,44,32.3,2,1
31,63,30.9,3,1
40,31,48.8,1,0
44,44,64.7,1,0
54,100,52,3,1
49,70,43.3,2,0
47,44,40.4,1,0
44,70,53.1,2,0
75,47,56.7,3,1
75,100,33.9,2,-1
36,63,52.7,2,-1
81,37,77.9,1,-1
81,33,63.2,2,0
54,100,22.6,1,-1
44,44,44.7,1,0
44,31,47.7,2,1
47,33,44.2,2,1
75,77,63.8,1,-1
63,42,72.9,2,-1
100,33,71.9,5,1
37,44,56.5,1,-1
44,36,62.5,2,1
40,40,51.9,1,0
33,36,44.1,4,1
44,54,52.9,1,0
44,41,55.9,2,0
42,42,48.9,2,0
47,77,40.4,2,-1
40,49,34.8,3,1
77,37,55.2,1,0
49,41,63.2,1,0
100,31,78.3,3,1
70,37,54,1,-1
44,81,40.7,3,-1
44,41,32.2,1,-1
37,75,50.1,1,0
36,31,70.5,1,-1
41,31,65.1,2,0
33,42,56.8,1,0
54,49,62.1,1,0
44,42,43,2,1
47,70,57,1,0
75,31,62.2,7,1
36,33,61.8,2,0
33,44,40.2,2,0
54,37,48.4,2,1
47,33,50.7,1,0
42,100,23,1,-1
49,44,31.3,2,0
37,63,29.7,2,-1
47,33,25.3,2,1
54,44,37.9,2,1
77,41,49.5,1,0
36,75,38.9,4,1
47,44,37.4,2,1
54,77,49,1,0
42,41,41.5,2,0
100,81,58.2,3,-1
44,63,45.1,2,1
31,44,38.6,4,1
44,31,52.1,2,0
37,44,58.4,2,1
70,40,61.1,1,0
75,33,79.4,1,0
44,49,54,2,1
49,33,43.9,4,1
